timestamp,counts
2023-08-13T00:00:00+02:00,2448
2023-08-14T00:00:00+02:00,4238
2023-08-15T00:00:00+02:00,4712
2023-08-16T00:00:00+02:00,4052
2023-08-17T00:00:00+02:00,3981
2023-08-18T00:00:00+02:00,4518
2023-08-19T00:00:00+02:00,3699
2023-08-20T00:00:00+02:00,3530
2023-08-21T00:00:00+02:00,4794
2023-08-22T00:00:00+02:00,4997
2023-08-23T00:00:00+02:00,5040
2023-08-24T00:00:00+02:00,4492
2023-08-25T00:00:00+02:00,3045
2023-08-26T00:00:00+02:00,2609
2023-08-27T00:00:00+02:00,1520
2023-08-28T00:00:00+02:00,2585
2023-08-29T00:00:00+02:00,2087
2023-08-30T00:00:00+02:00,3564
2023-08-31T00:00:00+02:00,3731
2023-09-01T00:00:00+02:00,3647
2023-09-02T00:00:00+02:00,4305
2023-09-03T00:00:00+02:00,3857
2023-09-04T00:00:00+02:00,5218
2023-09-05T00:00:00+02:00,5864
2023-09-06T00:00:00+02:00,5893
2023-09-07T00:00:00+02:00,5898
2023-09-08T00:00:00+02:00,6093
2023-09-09T00:00:00+02:00,5354
2023-09-10T00:00:00+02:00,4817
2023-09-11T00:00:00+02:00,7151
2023-09-12T00:00:00+02:00,6868
2023-09-13T00:00:00+02:00,5344
2023-09-14T00:00:00+02:00,6239
2023-09-15T00:00:00+02:00,6767
2023-09-16T00:00:00+02:00,4975
2023-09-17T00:00:00+02:00,4400
2023-09-18T00:00:00+02:00,5143
2023-09-19T00:00:00+02:00,6137
2023-09-20T00:00:00+02:00,6946
2023-09-21T00:00:00+02:00,5997
2023-09-22T00:00:00+02:00,4881
2023-09-23T00:00:00+02:00,4250
2023-09-24T00:00:00+02:00,4047
2023-09-25T00:00:00+02:00,6145
2023-09-26T00:00:00+02:00,6526
2023-09-27T00:00:00+02:00,6479
2023-09-28T00:00:00+02:00,6684
2023-09-29T00:00:00+02:00,5986
2023-09-30T00:00:00+02:00,4122
2023-10-01T00:00:00+02:00,4186
2023-10-02T00:00:00+02:00,4661
2023-10-03T00:00:00+02:00,3072
2023-10-04T00:00:00+02:00,6014
2023-10-05T00:00:00+02:00,5471
2023-10-06T00:00:00+02:00,5630
2023-10-07T00:00:00+02:00,3880
2023-10-08T00:00:00+02:00,3637
2023-10-09T00:00:00+02:00,5837
2023-10-10T00:00:00+02:00,6013
2023-10-11T00:00:00+02:00,6292
2023-10-12T00:00:00+02:00,5828
2023-10-13T00:00:00+02:00,6314
2023-10-14T00:00:00+02:00,2310
2023-10-15T00:00:00+02:00,2070
2023-10-16T00:00:00+02:00,5211
2023-10-17T00:00:00+02:00,5284
2023-10-18T00:00:00+02:00,4705
2023-10-19T00:00:00+02:00,4439
2023-10-20T00:00:00+02:00,4186
2023-10-21T00:00:00+02:00,3995
2023-10-22T00:00:00+02:00,3015
2023-10-23T00:00:00+02:00,4971
2023-10-24T00:00:00+02:00,2502
2023-10-25T00:00:00+02:00,1062
2023-10-26T00:00:00+02:00,1245
2023-10-27T00:00:00+02:00,2113
2023-10-28T00:00:00+02:00,55
2023-10-29T00:00:00+01:00,4925
2023-10-30T00:00:00+01:00,5732
2023-10-31T00:00:00+01:00,4681
2023-11-01T00:00:00+01:00,6855
2023-11-02T00:00:00+01:00,6833
2023-11-03T00:00:00+01:00,7163
2023-11-04T00:00:00+01:00,6984
2023-11-05T00:00:00+01:00,6093
2023-11-06T00:00:00+01:00,5418
2023-11-07T00:00:00+01:00,5132
2023-11-08T00:00:00+01:00,5161
2023-11-09T00:00:00+01:00,4694
2023-11-10T00:00:00+01:00,4888
2023-11-11T00:00:00+01:00,4689
2023-11-12T00:00:00+01:00,4358
2023-11-13T00:00:00+01:00,3249
2023-11-14T00:00:00+01:00,4017
2023-11-15T00:00:00+01:00,5121
2023-11-16T00:00:00+01:00,4066
2023-11-17T00:00:00+01:00,3702
2023-11-18T00:00:00+01:00,4803
2023-11-19T00:00:00+01:00,3833
2023-11-20T00:00:00+01:00,3718
2023-11-21T00:00:00+01:00,1273
2023-11-22T00:00:00+01:00,3788
2023-11-23T00:00:00+01:00,4595
2023-11-24T00:00:00+01:00,4352
2023-11-25T00:00:00+01:00,5254
2023-11-26T00:00:00+01:00,5091
2023-11-27T00:00:00+01:00,3455
2023-11-28T00:00:00+01:00,2476
2023-11-29T00:00:00+01:00,4164
2023-11-30T00:00:00+01:00,4724
2023-12-01T00:00:00+01:00,4048
2023-12-02T00:00:00+01:00,4000
2023-12-03T00:00:00+01:00,4468
2023-12-04T00:00:00+01:00,3704
2023-12-05T00:00:00+01:00,3606
2023-12-06T00:00:00+01:00,4724
2023-12-07T00:00:00+01:00,4996
2023-12-08T00:00:00+01:00,5050
2023-12-09T00:00:00+01:00,4527
2023-12-10T00:00:00+01:00,3026
2023-12-11T00:00:00+01:00,2638
2023-12-12T00:00:00+01:00,1558
2023-12-13T00:00:00+01:00,2567
2023-12-14T00:00:00+01:00,2092
2023-12-15T00:00:00+01:00,3517
2023-12-16T00:00:00+01:00,3751
2023-12-17T00:00:00+01:00,3631
2023-12-18T00:00:00+01:00,4311
2023-12-19T00:00:00+01:00,3886
2023-12-20T00:00:00+01:00,5213
2023-12-21T00:00:00+01:00,5767
2023-12-22T00:00:00+01:00,5944
2023-12-23T00:00:00+01:00,5865
2023-12-24T00:00:00+01:00,6066
2023-12-25T00:00:00+01:00,5339
2023-12-26T00:00:00+01:00,4965
2023-12-27T00:00:00+01:00,7100
2023-12-28T00:00:00+01:00,6834
2023-12-29T00:00:00+01:00,5334
2023-12-30T00:00:00+01:00,6208
2023-12-31T00:00:00+01:00,6712
